nombre,per_variable
AIORA,0.9183741062704398
ALBORS,0.9809770042914634
ARRANCAPINS,0.9975434279275318
BENICALAP,0.9582049565345588
BENIFARAIG,0.8224196386225313
BENIFERRI,0.9951726460351966
BENIMACLET,0.9547869571882179
BENIMAMET,0.9165997819158225
BETERO,0.9692170292704378
BORBOTO,0.6206121893560748
CABANYAL-CANYAMELAR,0.9489674515121533
CAMI DE VERA,1.0185669307378697
CAMI FONDO,1.0890620890638205
CAMI REAL,0.9987976785190215
CAMPANAR,0.9736325352203825
CARPESA,0.49178521028815353
CASTELLAR-L'OLIVERAL,1.163823530548363
CIUTAT DE LES ARTS I DE LES CIENCIES,0.9949817958430199
CIUTAT FALLERA,0.9961460392270788
CIUTAT JARDI,0.9963051098670124
CIUTAT UNIVERSITARIA,0.9999837746904132
EL BOTANIC,0.9901280947402953
EL CALVARI,0.9647238940165934
EL CARME,0.850210176503192
EL FORN D'ALCEDO,0.9875055973718931
EL GRAU,0.9505273939110848
EL MERCAT,0.9302292494617138
EL PALMAR,0.09855545403894209
EL PERELLONET,0.5274597450664112
EL PILAR,0.9021407630664
EL PLA DEL REMEI,0.992195389734934
EL SALER,0.6466745773696347
ELS ORRIOLS,0.9700970860707917
EN CORTS,0.9625195029243208
EXPOSICIO,0.9645545358330216
FAITANAR,0.9390821459018414
FAVARA,0.9524608321144227
JAUME ROIG,0.9986464149225494
L'AMISTAT,0.9992605994535737
L'HORT DE SENABRE,0.9490022705748787
L'ILLA PERDUDA,0.939620895748634
LA CARRASCA,0.9229990351685189
LA CREU COBERTA,0.9056154422198279
LA CREU DEL GRAU,1.1405470843458065
LA FONTETA S.LLUIS,0.9873028322153569
LA FONTSANTA,0.9824163468535808
LA GRAN VIA,0.9973469538154424
LA LLUM,0.9974370153385537
LA MALVA-ROSA,0.9690791218978597
LA PETXINA,0.9715552720271199
LA PUNTA,0.9826013188043342
LA RAIOSA,0.9759874419754511
LA ROQUETA,0.9981425479351028
LA SEU,0.7118637624173244
LA TORRE,0.9961836624450703
LA VEGA BAIXA,0.9762018348648949
LA XEREA,0.9431720016113525
LES CASES DE BARCENA,0.8806667124510938
LES TENDETES,0.9380989845762603
MAHUELLA-TAULADELLA,0.18069370573045127
MALILLA,0.9952573990604323
MARXALENES,0.9810611004301227
MASSARROJOS,0.294274957252744
MESTALLA,0.9978998902316527
MONTOLIVET,0.980108249590405
MORVEDRE,0.9607534023526283
NA ROVELLA,0.9917484921337233
NATZARET,0.9626410974940776
NOU MOLES,0.9770372368417429
PATRAIX,0.9589008724176084
PENYA-ROJA,0.9998805805018998
PINEDO,0.7673534257023408
POBLE NOU,0.9652584209893103
RAFALELL-VISTABELLA,0.47047566567653426
RUSSAFA,0.9745920579184847
SAFRANAR,0.9851866428651961
SANT ANTONI,0.9631587857095436
SANT FRANCESC,0.993583967279655
SANT ISIDRE,0.9953846679986031
SANT LLORENS,0.9011094813035103
SANT MARCEL.LI,0.9297954391792744
SANT PAU,0.8526182869150113
SOTERNES,0.9881931428167828
TORMOS,0.9980428365603662
TORREFIEL,1.0041094343688244
TRES FORQUES,0.9836831240849662
TRINITAT,0.9809101051906748
VARA DE QUART,0.9911559035285376
